Most common page descriptions


zetaweb=# select count(*), pagedescription from site_info group by pagedescription order by count(*) desc limit 500;
  count   |                                                                                                                                                                                                                                                                          pagedescription                                                                                                                                                                                                                                                                          
----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 13250783 | 
   947478 | 
   100110 | Information on zip codes. Weather, local news, Wikipedia, area officials, area schools, and more!
    95214 | See related links to what you are looking for.
    62618 | Get online with Website Builder! Create a free 2-page website to go with your new domain. Start now for free, no credit card required!
    62576 | This domain name has been registered with Gandi.net. It is currently parked by the owner.
    57897 | Forsale Lander
    48249 | This domain name is registered and secured with Crazy Domains, a world leader domain name and web hosting provider.
    44982 | Buy a domain and see how a premium domain can be the best investment. Your business starts here. Buy a domain today.
    32024 | Bluehost - Top rated web hosting provider - Free 1 click installs For blogs, shopping carts, and more. Get a free domain name, real NON-outsourced 24/7 support, and superior speed. web hosting provider php hosting cheap web hosting, Web hosting, domain names, front page hosting, email hosting.  We offer affordable hos
    31213 | DeviantArt is the world's largest online social community for artists and art enthusiasts, allowing people to connect through the creation and sharing of art.
    15411 | Domain Name Registration - register your domain name online,and get the name you want while it's still available. Internet Domain Registration & International Domain Name Registration.
    14718 | Just another WordPress site
    13252 | Registrering af domæner og hosting af webhoteller. Opret gratis webshop. Skræddersyede it-hosting
    13225 | Network Solutions - Original domain name registration and reservation services with variety of internet-related business offerings. Quick, dependable and reliable.
    11081 | The owner of this domain has not yet uploaded their website.
     7315 | Home
     6732 | Home Page
     6716 | This is a default index page for a new domain.
     6522 | Tumblr is a place to express yourself, discover yourself, and bond over the stuff you love. It's where your interests connect you with your people.
     6186 | FORPSI je Evropská housingová společnost. Nabízí služby webhostingu, serverhostingu, registrace doménových jmen a www stránky na serverech Windows/Linux.
     6170 | 1st Domains is New Zealand's #1 domain name registration web site offering cheap .nz domain names. Managing over domains, register today!
     5986 | Domeinnaam is geregistreerd via Argeweb
     5908 | Log into Facebook to start sharing and connecting with your friends, family, and people you know.
     5664 | Just another WordPress.com site
     5639 | Web Hosting from Just Host. Professional Web hosting services with free domain name, unlimited web hosting space and unlimited bandwidth.
     5531 | Reseller Hosting, Web Hosting, Dedicated Servers & Domain Names | Heart Internet
     5491 | Pay less for domain names. Bulk pricing and private domain name registration options. Transfer domain names risk-free.
     5396 | Free DNS Hosting
     5253 | This domain is parked at DreamHost
     4776 | Search premium discount domains and check out the Domain Deal of the Day.
     4683 | This domain has a pending ICANN verification and is suspended.
     4614 | Shop powered by PrestaShop
     4507 | Bluehost - Top rated web hosting provider - Free 1 click installs For blogs, shopping carts, and more. Get a free domain name, real NON-outsourced 24/7 support, and superior speed. web hosting provider php hosting cheap web hosting, Web hosting, domain names, front page hosting, email hosting. We offer affordable hos
     4251 | This is the home page's excerpt
     3963 | |
     3824 | Joomla! - the dynamic portal engine and content management system
     3809 | Registrazione e gestione dei domini Internet, i documenti necessari, le ultime estensioni possibili, il listino prezzi completo!
     3791 | NoktaDomains is a domain sales service and marketplace which enables you to buy or lease cheap, generic and premium domain names.
     3690 | YOUR DESCRIPTION HERE
     3660 | Neobiz
     3551 | Domain registriert bei united-domains.de
     3526 | Registrering af domæner og hosting af webhoteller. Gratis oprettelse af domæne ved samtidig oprettelse af webhotel.
     3518 | 1&1 offers Web hosting, domain names, website builders, servers, and email solutions. Find affordable, dedicated ad-free web hosting, domain name registration and e-mail solutions.  Choose 1&1 Internet to host your small business website or personal web site.
     3444 | Default Description
     3428 | This domain name has been activated for a Combell.com customer
     3408 | DESCRIPTION HERE
     3353 | gabia,媛���������domain,����몃�濡�>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
          | <script language=
