Most common page keywords.

zetaweb=# select count(*), pagekeywords from site_info group by pagekeywords order by count(*) desc limit 500;
  count   |                                                                                                                                                                                     pagekeywords                                                                                                                                                                                      
----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 18091358 | 
   583699 | 
    48910 | crazy domains, domain names, cheap domain names, domain registration, domain name registration, domain search, buy domain, domain name search, domain
    44974 | premium domain, buy domain
    36551 | web hosting, provider, php hosting,web hosting, free domain names, domain name, front page hosting, web site, web design, domain name registration, business web site, web site hosting, web space, picture hosting, small business, cheap web hosting, webmast
    30903 | art, digital art, photography, traditional art, community art, contemporary art, modern art, skins, themes, poetry, prose, applications, wallpapers, online art, graphic design, web design, gaming, photography, animation, comic books, digital images
    14553 | domain name, domain names, domain name registration, whois, internic, dot com people, web address, tld, .com, .net, .org, web forwarding, mail, registry, registrar, internet address, icann,web site, secure
    13252 | webhotel, hosting, domænenavne, domainname, domæneregistrering, domaene, domaener, domæne, domæner, domain registration, web-hotel, web hotel, webhosting, webshop, e-handel, e-commerce
     7972 | uk hosting provider, domain name management, brand monitoring, domain recovery,domain name registration,typosquatting,cybersquatting
     7700 | home
     7321 | web hosting, hosting, web host, host, website hosting, webhosting, web hosting provider, web hosting service, web hosting supplier, cheap web hosting, web space, web site hosting, web space hosting, best web hosting, cpanel hosting
     7197 | your keywords here
     6574 | tumblelog, blog, tumblog, tumbler, tumblr, tlog, microblog
     6189 | forpsi,webhosting,doména,domény,hosting,server,serverhosting,housing,serverhousing,adsl,wifi,wi-fi,domain,domains
     6173 | domain registration, domain name registration, register a domain name, url redirection, email forwarding, new zealand, domain transfer, cheap domain names
     6098 | games free, free games, gamesfree, freegames, flash games, kids games, teen games, the place to be
     5536 | reseller hosting, web hosting, uk, hosting, web hosts, domains, domain names, heart internet, websites, servers, dedicated servers
     5396 | dns,hosting,dns4.ir,domain parking
     5067 | joomla, joomla
     4758 | domains, direct domains, cheap domains, buy domains
     4312 | keywords
     4279 | solutions, services, expertise, advice
     4232 | 1&1, 1and1, web hosting, domain names, domain name, web site, website hosting, web design, domain name registration, small business, ecommerce, cheap web hosting, webmaster, web site builder, web space, affordable web hosting, microsoft hosting, linux hos
     4183 | keywords here
     3793 | registrazione domini registra rinnova trasferisci il tuo dominio controlla verifica disponibilità dominio tutto compreso
     3791 | buy domain, buy domain name, buy domains, cheap domain, cheap domain for sale, cheap domains, cheap domains for sale, domain for sale, domain marketplace, domain name marketplace, domain name sale, domain name sales, domain names sales, domain offer, doma
     3675 | domain, domain name, domain registration, registrar, buy domains, register domain name, domain name register, buy domain name, renewal, transfer domain, cheap, inexpensive, domains, domain names, domain name registrations, registrars, register, dns, url, 
     3660 | neobiz
     3533 | combell, parkpage, coming soon, domains, domain name, webhosting, ssl, email, sitebuilder
