Most common page simhash values.

zetaweb=# select count(*), simhash_value from site_info group by simhash_value order by count(*) desc limit 500;
  count  |                                                          simhash_value                                                           
---------+----------------------------------------------------------------------------------------------------------------------------------
 5487575 | 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
 1388667 | 
  196047 | 00111000110011100000111010011101011010111000101010010010100101110000001000110000000010001101100000001010001111100000111111111100
  100108 | 00111010100001001000100000101110011101010010001101100110111111011001111101011000101001010001100011111100011100101101110000010101
   70661 | 01101001111100001010100011010110011001011100110110111101110110110011010111011100010000011001010000010100000110101000010100100110
   63862 | 11010100000111011000110011011001100011110000000010110010000001001110100110000000000010011001100011101100111110000100001001111110
   52726 | 11110010111111000011001000101110111110100010000000011111101111000001000010101101001011010111000010100000110101010111000001000010
   41052 | 01101111100101011000010000100101011111111000110100011100010100010100101110010000100001101101101111111000111011100100100011111001
   33862 | 00010011001010100000101001101001010000010100110010000011110111010010011100001111000001010101111110010011001110101101111100100101
   33445 | 00011100011100110000101111001101111001011010111110111001000110001011101010011100110001000111110100011101110111011100110110101110
   20432 | 00101010110101000010111000000000100000111000010101111111101100011001110010000101001010010010110010100101001111100001001111111000
   19797 | 11111011100010110101011011110011101000110011000100011111111001110000101100010010010010101111110011111111011100111011111000111011
   19128 | 10000000110111110101011100000111001010001011001010010110100100011001100111010101010011001000100100110010000001110001000011010011
   17714 | 00101011100010100101010111011110110100100000110000000000111000011000000100000101000011001100011101001000000011110100011010010000
   17438 | 10010011111100001111110000100000000101110000001101000100101110000010101101000101000100001110100011110011101111000010101001111010
   17374 | 00111000101011010011001110110110100110010000100111101101100011011010001001100101111011010000101011111100111101010011101010010100
   17086 | 00100010110101000010111000000000100000111000001101111111101100011001110010000101001010010110110010100100001111100101001111111000
   16831 | 00101010110101000010111000000000100000111000000101111111101100011001110010000101001010010010110010100101001111100001001111111000
   16714 | 11011011000001001001000001010111110011110011111101111110001011110010100001001111111011001001101101011100001101110101000010111111
   16629 | 00100010110101000010111000010000100000111000011101110111101100011001110010000101001010010010110010100100000111100101001111111000
   16562 | 00100010110101000010111000000000100000111000000101111111101100011001110010000101001010010010110110100101001111100101001111111000
   16547 | 00100010110101000010111000010000100000111000000101111111101100011001110010000101001010010110110010100101000111100101001111111000
   16340 | 01010001110000100101010000001100101100110010101101010010110000111010101001001100000000110001000000001000011100010100110100110101
   15919 | 00100010110101000010111000000000100000111000001101110111101100011001111010000101001010010110110010100101000111100101001111111000
   15902 | 00100010110101000010111000000000100000111000010101110111101100011001110000000101001010010110110010100101001111100001001111111000
   15900 | 01101001111000100010110101000111110101101111010101010011011010011001000011100000010010101000011001010110010010100011001000000001
   15557 | 00100010110101000010111000000000100000111000010101111111101100011001111010000101001010010010110010100101000111100101001111111000
   15252 | 01000001111000110001100001011110111100010000101101010010100001111010111001111001101001001001010000011110010100110100110100111110
   15238 | 00100010110101000010111000000000100000111000000101110111101100011001110010000101001010010110110010100101000111100101001111111000
   15120 | 00100010110101000010111000010000100000111000000101110111101100011001111010000101001010010010110010100101001111100101001111111000
   15098 | 00100010110101000010111000000000100000111000010101110111101100011001110010000101001010010010110110100101000111100001001111111000
   14988 | 00101010110101000010111000000000100000111000000101110111101100011001110000000101001010010010110010100101100111100101001111111000
   14897 | 01110000100010011000010001111110001101100100001011110111100011010001001000010000011011011110000110101111011111101100010001001001
   14885 | 00100010110101000010111000010000100000111000000101110111101100011001110010000101001010010110110010100101001111100101001111111000
